,date,unemployment
0,1967-01-07,208000.0
1,1967-01-14,207000.0
2,1967-01-21,217000.0
3,1967-01-28,204000.0
4,1967-02-04,216000.0
5,1967-02-11,229000.0
6,1967-02-18,229000.0
7,1967-02-25,242000.0
8,1967-03-04,310000.0
9,1967-03-11,241000.0
10,1967-03-18,245000.0
11,1967-03-25,247000.0
12,1967-04-01,259000.0
13,1967-04-08,257000.0
14,1967-04-15,299000.0
15,1967-04-22,245000.0
16,1967-04-29,255000.0
17,1967-05-06,254000.0
18,1967-05-13,231000.0
19,1967-05-20,230000.0
20,1967-05-27,228000.0
21,1967-06-03,248000.0
22,1967-06-10,238000.0
23,1967-06-17,224000.0
24,1967-06-24,218000.0
25,1967-07-01,209000.0
26,1967-07-08,240000.0
27,1967-07-15,241000.0
28,1967-07-22,240000.0
29,1967-07-29,209000.0
30,1967-08-05,221000.0
31,1967-08-12,202000.0
32,1967-08-19,215000.0
33,1967-08-26,213000.0
34,1967-09-02,218000.0
35,1967-09-09,231000.0
36,1967-09-16,220000.0
37,1967-09-23,209000.0
38,1967-09-30,204000.0
39,1967-10-07,231000.0
40,1967-10-14,206000.0
41,1967-10-21,223000.0
42,1967-10-28,207000.0
43,1967-11-04,222000.0
44,1967-11-11,214000.0
45,1967-11-18,198000.0
46,1967-11-25,191000.0
47,1967-12-02,196000.0
48,1967-12-09,221000.0
49,1967-12-16,204000.0
50,1967-12-23,219000.0
51,1967-12-30,216000.0
52,1968-01-06,222000.0
53,1968-01-13,222000.0
54,1968-01-20,221000.0
55,1968-01-27,198000.0
56,1968-02-03,244000.0
57,1968-02-10,210000.0
58,1968-02-17,196000.0
59,1968-02-24,193000.0
60,1968-03-02,190000.0
61,1968-03-09,204000.0
62,1968-03-16,190000.0
63,1968-03-23,200000.0
64,1968-03-30,192000.0
65,1968-04-06,191000.0
66,1968-04-13,171000.0
67,1968-04-20,183000.0
68,1968-04-27,251000.0
69,1968-05-04,209000.0
70,1968-05-11,194000.0
71,1968-05-18,199000.0
72,1968-05-25,194000.0
73,1968-06-01,199000.0
74,1968-06-08,192000.0
75,1968-06-15,194000.0
76,1968-06-22,189000.0
77,1968-06-29,194000.0
78,1968-07-06,214000.0
79,1968-07-13,186000.0
80,1968-07-20,180000.0
81,1968-07-27,205000.0
82,1968-08-03,206000.0
83,1968-08-10,218000.0
84,1968-08-17,192000.0
85,1968-08-24,193000.0
86,1968-08-31,188000.0
87,1968-09-07,189000.0
88,1968-09-14,195000.0
89,1968-09-21,191000.0
90,1968-09-28,189000.0
91,1968-10-05,185000.0
92,1968-10-12,186000.0
93,1968-10-19,191000.0
94,1968-10-26,182000.0
95,1968-11-02,181000.0
96,1968-11-09,183000.0
97,1968-11-16,192000.0
98,1968-11-23,199000.0
99,1968-11-30,162000.0
100,1968-12-07,188000.0
101,1968-12-14,195000.0
102,1968-12-21,192000.0
103,1968-12-28,223000.0
104,1969-01-04,190000.0
105,1969-01-11,191000.0
106,1969-01-18,192000.0
107,1969-01-25,193000.0
108,1969-02-01,203000.0
109,1969-02-08,197000.0
110,1969-02-15,192000.0
111,1969-02-22,192000.0
112,1969-03-01,201000.0
113,1969-03-08,191000.0
114,1969-03-15,189000.0
115,1969-03-22,181000.0
116,1969-03-29,183000.0
117,1969-04-05,182000.0
118,1969-04-12,190000.0
119,1969-04-19,187000.0
120,1969-04-26,177000.0
121,1969-05-03,177000.0
122,1969-05-10,183000.0
123,1969-05-17,179000.0
124,1969-05-24,180000.0
125,1969-05-31,187000.0
126,1969-06-07,192000.0
127,1969-06-14,182000.0
128,1969-06-21,191000.0
129,1969-06-28,203000.0
130,1969-07-05,227000.0
131,1969-07-12,210000.0
132,1969-07-19,206000.0
133,1969-07-26,192000.0
134,1969-08-02,196000.0
135,1969-08-09,203000.0
136,1969-08-16,199000.0
137,1969-08-23,199000.0
138,1969-08-30,195000.0
139,1969-09-06,182000.0
140,1969-09-13,209000.0
141,1969-09-20,195000.0
142,1969-09-27,193000.0
143,1969-10-04,193000.0
144,1969-10-11,200000.0
145,1969-10-18,199000.0
146,1969-10-25,205000.0
147,1969-11-01,198000.0
148,1969-11-08,211000.0
149,1969-11-15,197000.0
150,1969-11-22,217000.0
151,1969-11-29,202000.0
152,1969-12-06,202000.0
153,1969-12-13,222000.0
154,1969-12-20,232000.0
155,1969-12-27,223000.0
156,1970-01-03,230000.0
157,1970-01-10,242000.0
158,1970-01-17,268000.0
159,1970-01-24,256000.0
160,1970-01-31,239000.0
161,1970-02-07,256000.0
162,1970-02-14,265000.0
163,1970-02-21,271000.0
164,1970-02-28,242000.0
165,1970-03-07,262000.0
166,1970-03-14,271000.0
167,1970-03-21,264000.0
168,1970-03-28,276000.0
169,1970-04-04,273000.0
170,1970-04-11,305000.0
171,1970-04-18,374000.0
172,1970-04-25,349000.0
173,1970-05-02,334000.0
174,1970-05-09,318000.0
175,1970-05-16,303000.0
176,1970-05-23,296000.0
177,1970-05-30,301000.0
178,1970-06-06,301000.0
179,1970-06-13,298000.0
180,1970-06-20,296000.0
181,1970-06-27,291000.0
182,1970-07-04,277000.0
183,1970-07-11,288000.0
184,1970-07-18,294000.0
185,1970-07-25,287000.0
186,1970-08-01,261000.0
187,1970-08-08,266000.0
188,1970-08-15,300000.0
189,1970-08-22,303000.0
190,1970-08-29,297000.0
191,1970-09-05,324000.0
192,1970-09-12,292000.0
193,1970-09-19,325000.0
194,1970-09-26,333000.0
195,1970-10-03,350000.0
196,1970-10-10,327000.0
197,1970-10-17,334000.0
198,1970-10-24,330000.0
199,1970-10-31,327000.0
200,1970-11-07,336000.0
201,1970-11-14,314000.0
202,1970-11-21,314000.0
203,1970-11-28,337000.0
204,1970-12-05,308000.0
205,1970-12-12,306000.0
206,1970-12-19,289000.0
207,1970-12-26,321000.0
208,1971-01-02,303000.0
209,1971-01-09,288000.0
210,1971-01-16,299000.0
211,1971-01-23,312000.0
212,1971-01-30,292000.0
213,1971-02-06,296000.0
214,1971-02-13,282000.0
215,1971-02-20,268000.0
216,1971-02-27,290000.0
217,1971-03-06,297000.0
218,1971-03-13,287000.0
219,1971-03-20,291000.0
220,1971-03-27,300000.0
221,1971-04-03,299000.0
222,1971-04-10,279000.0
223,1971-04-17,284000.0
